Date : 2024-02-19 16:46:23
Directory : c:\Dev Temp\ts\project-b
Total : 123 files,  8228 codes, 1200 comments, 1274 blanks, all 10702 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript         |         68 |      4,157 |        675 |        814 |      5,646 |
| TypeScript JSX     |         18 |      1,916 |        198 |        266 |      2,380 |
| JavaScript         |          3 |        974 |         39 |         12 |      1,025 |
| YAML               |          1 |        441 |          0 |         62 |        503 |
| XML                |         11 |        294 |          3 |         17 |        314 |
| HTML               |          2 |        126 |         48 |         12 |        186 |
| Groovy             |          6 |        116 |          7 |         26 |        149 |
| JSON               |          4 |         82 |          0 |          0 |         82 |
| Batch              |          1 |         41 |         30 |         22 |         93 |
| JSON with Comments |          3 |         40 |        174 |         20 |        234 |
| Java               |          3 |         27 |         11 |         14 |         52 |
| Properties         |          2 |          8 |         15 |          7 |         30 |
| CSS                |          1 |          6 |          0 |          2 |          8 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                          | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                             |        123 |      8,228 |      1,200 |      1,274 |     10,702 |
| . (Files)                                                                                                     |          7 |        201 |        112 |         24 |        337 |
| android                                                                                                       |         23 |        486 |         66 |         86 |        638 |
| android (Files)                                                                                               |          6 |         95 |         49 |         42 |        186 |
| android\.idea                                                                                                 |          1 |          4 |          0 |          0 |          4 |
| android\app                                                                                                   |         15 |        381 |         17 |         43 |        441 |
| android\app (Files)                                                                                           |          2 |         64 |          3 |         12 |         79 |
| android\app\src                                                                                               |         13 |        317 |         14 |         31 |        362 |
| android\app\src\androidTest                                                                                   |          1 |         15 |          6 |          6 |         27 |
| android\app\src\androidTest\java                                                                              |          1 |         15 |          6 |          6 |         27 |
| android\app\src\androidTest\java\com                                                                          |          1 |         15 |          6 |          6 |         27 |
| android\app\src\androidTest\java\com\getcapacitor                                                             |          1 |         15 |          6 |          6 |         27 |
| android\app\src\androidTest\java\com\getcapacitor\myapp                                                       |          1 |         15 |          6 |          6 |         27 |
| android\app\src\main                                                                                          |         11 |        293 |          3 |         20 |        316 |
| android\app\src\main (Files)                                                                                  |          1 |         33 |          1 |          8 |         42 |
| android\app\src\main\java                                                                                     |          1 |          3 |          0 |          3 |          6 |
| android\app\src\main\java\com                                                                                 |          1 |          3 |          0 |          3 |          6 |
| android\app\src\main\java\com\drivegame2024                                                                   |          1 |          3 |          0 |          3 |          6 |
| android\app\src\main\res                                                                                      |          9 |        257 |          2 |          9 |        268 |
| android\app\src\main\res\drawable                                                                             |          1 |        170 |          0 |          1 |        171 |
| android\app\src\main\res\drawable-v24                                                                         |          1 |         34 |          0 |          1 |         35 |
| android\app\src\main\res\layout                                                                               |          1 |         11 |          0 |          2 |         13 |
| android\app\src\main\res\mipmap-anydpi-v26                                                                    |          2 |         10 |          0 |          0 |         10 |
| android\app\src\main\res\values                                                                               |          3 |         27 |          2 |          5 |         34 |
| android\app\src\main\res\xml                                                                                  |          1 |          5 |          0 |          0 |          5 |
| android\app\src\test                                                                                          |          1 |          9 |          5 |          5 |         19 |
| android\app\src\test\java                                                                                     |          1 |          9 |          5 |          5 |         19 |
| android\app\src\test\java\com                                                                                 |          1 |          9 |          5 |          5 |         19 |
| android\app\src\test\java\com\getcapacitor                                                                    |          1 |          9 |          5 |          5 |         19 |
| android\app\src\test\java\com\getcapacitor\myapp                                                              |          1 |          9 |          5 |          5 |         19 |
| android\gradle                                                                                                |          1 |          6 |          0 |          1 |          7 |
| android\gradle\wrapper                                                                                        |          1 |          6 |          0 |          1 |          7 |
| app                                                                                                           |          4 |      1,072 |         81 |         30 |      1,183 |
| server                                                                                                        |          7 |        828 |        216 |        138 |      1,182 |
| src                                                                                                           |         82 |      5,641 |        725 |        996 |      7,362 |
| src\styles                                                                                                    |          1 |          6 |          0 |          2 |          8 |
| src\ts                                                                                                        |         81 |      5,635 |        725 |        994 |      7,354 |
| src\ts (Files)                                                                                                |          2 |         77 |          4 |         14 |         95 |
| src\ts\editor                                                                                                 |          2 |         46 |          4 |         12 |         62 |
| src\ts\engine                                                                                                 |         29 |      2,650 |        400 |        557 |      3,607 |
| src\ts\engine (Files)                                                                                         |         11 |        540 |        179 |        135 |        854 |
| src\ts\engine\input                                                                                           |          3 |        825 |         26 |        146 |        997 |
| src\ts\engine\multiplayer                                                                                     |          6 |        937 |        110 |        195 |      1,242 |
| src\ts\engine\rendering                                                                                       |          9 |        348 |         85 |         81 |        514 |
| src\ts\engine\rendering (Files)                                                                               |          7 |        256 |         77 |         61 |        394 |
| src\ts\engine\rendering\blueprints                                                                            |          2 |         92 |          8 |         20 |        120 |
| src\ts\game                                                                                                   |         48 |      2,862 |        317 |        411 |      3,590 |
| src\ts\game (Files)                                                                                           |          3 |         98 |         35 |         13 |        146 |
| src\ts\game\blueprints                                                                                        |          4 |        160 |         11 |         14 |        185 |
| src\ts\game\components                                                                                        |         10 |        108 |          2 |         27 |        137 |
| src\ts\game\hud                                                                                               |          6 |        275 |         31 |         47 |        353 |
| src\ts\game\hud (Files)                                                                                       |          1 |         15 |          0 |          1 |         16 |
| src\ts\game\hud\components                                                                                    |          4 |        225 |         30 |         38 |        293 |
| src\ts\game\hud\debug                                                                                         |          1 |         35 |          1 |          8 |         44 |
| src\ts\game\scripts                                                                                           |         10 |        403 |         58 |         72 |        533 |
| src\ts\game\scripts (Files)                                                                                   |          3 |         61 |          3 |         16 |         80 |
| src\ts\game\scripts\bosses                                                                                    |          1 |          2 |          0 |          2 |          4 |
| src\ts\game\scripts\players                                                                                   |          6 |        340 |         55 |         54 |        449 |
| src\ts\game\settings                                                                                          |          1 |         10 |          0 |          3 |         13 |
| src\ts\game\states                                                                                            |         10 |      1,614 |        156 |        209 |      1,979 |
| src\ts\game\systems                                                                                           |          4 |        194 |         24 |         26 |        244 |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                      | language           | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Dev Temp\ts\project-b\android\.idea\misc.xml                                                               | XML                |          4 |          0 |          0 |          4 |
| c:\Dev Temp\ts\project-b\android\app\build.gradle                                                             | Groovy             |         47 |          2 |          6 |         55 |
| c:\Dev Temp\ts\project-b\android\app\capacitor.build.gradle                                                   | Groovy             |         17 |          1 |          6 |         24 |
| c:\Dev Temp\ts\project-b\android\app\src\androidTest\java\com\getcapacitor\myapp\ExampleInstrumentedTest.java | Java               |         15 |          6 |          6 |         27 |
| c:\Dev Temp\ts\project-b\android\app\src\main\AndroidManifest.xml                                             | XML                |         33 |          1 |          8 |         42 |
| c:\Dev Temp\ts\project-b\android\app\src\main\java\com\drivegame2024\MainActivity.java                        | Java               |          3 |          0 |          3 |          6 |
| c:\Dev Temp\ts\project-b\android\app\src\main\res\drawable-v24\ic_launcher_foreground.xml                     | XML                |         34 |          0 |          1 |         35 |
| c:\Dev Temp\ts\project-b\android\app\src\main\res\drawable\ic_launcher_background.xml                         | XML                |        170 |          0 |          1 |        171 |
| c:\Dev Temp\ts\project-b\android\app\src\main\res\layout\activity_main.xml                                    | XML                |         11 |          0 |          2 |         13 |
| c:\Dev Temp\ts\project-b\android\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml                           | XML                |          5 |          0 |          0 |          5 |
| c:\Dev Temp\ts\project-b\android\app\src\main\res\mipmap-anydpi-v26\ic_launcher_round.xml                     | XML                |          5 |          0 |          0 |          5 |
| c:\Dev Temp\ts\project-b\android\app\src\main\res\values\ic_launcher_background.xml                           | XML                |          4 |          0 |          0 |          4 |
| c:\Dev Temp\ts\project-b\android\app\src\main\res\values\strings.xml                                          | XML                |          7 |          0 |          1 |          8 |
| c:\Dev Temp\ts\project-b\android\app\src\main\res\values\styles.xml                                           | XML                |         16 |          2 |          4 |         22 |
| c:\Dev Temp\ts\project-b\android\app\src\main\res\xml\file_paths.xml                                          | XML                |          5 |          0 |          0 |          5 |
| c:\Dev Temp\ts\project-b\android\app\src\test\java\com\getcapacitor\myapp\ExampleUnitTest.java                | Java               |          9 |          5 |          5 |         19 |
| c:\Dev Temp\ts\project-b\android\build.gradle                                                                 | Groovy             |         20 |          3 |          7 |         30 |
| c:\Dev Temp\ts\project-b\android\capacitor.settings.gradle                                                    | Groovy             |         12 |          1 |          6 |         19 |
| c:\Dev Temp\ts\project-b\android\gradle.properties                                                            | Properties         |          2 |         15 |          6 |         23 |
| c:\Dev Temp\ts\project-b\android\gradle\wrapper\gradle-wrapper.properties                                     | Properties         |          6 |          0 |          1 |          7 |
| c:\Dev Temp\ts\project-b\android\gradlew.bat                                                                  | Batch              |         41 |         30 |         22 |         93 |
